label,note
Health & Fitness,"gym membership renewal"
Health & Fitness,"monthly gym fee"
Health & Fitness,"paid for my gym"
Health & Fitness,"fitness class payment"
Health & Fitness,"yoga class fee"
Health & Fitness,"yoga studio membership"
Health & Fitness,"workout class payment"
Health & Fitness,"personal trainer fee"
Health & Fitness,"physio appointment"
Health & Fitness,"physiotherapy session"
Health & Fitness,"dental treatment payment"
Health & Fitness,"dentist consultation"
Health & Fitness,"eye checkup fee"
Health & Fitness,"bought protein supplement"
Health & Fitness,"protein powder for workouts"
Health & Fitness,"bought whey protein"
Health & Fitness,"fitness supplements"
Health & Fitness,"vitamins and supplements"
Health & Fitness,"sports nutrition purchase"
Health & Fitness,"bought an inhaler"
Health & Fitness,"asthma medicine"
Health & Fitness,"bought allergy medicine"
Health & Fitness,"health insurance premium"
Health & Fitness,"annual health check"
Health & Fitness,"wellness treatment"
Groceries,"sabzi from the market"
Groceries,"vegetables for the week"
Groceries,"weekly veggie shopping"
Groceries,"onions potatoes and tomatoes"
Groceries,"bought fresh vegetables"
Groceries,"bought chicken for home cooking"
Groceries,"bought fish for dinner at home"
Groceries,"meat for the week"
Groceries,"eggs and bread for home"
Groceries,"cereal for breakfast at home"
Groceries,"snacks for the pantry"
Groceries,"restocked the pantry"
Groceries,"monthly ration from the supermarket"
Groceries,"supermarket grocery run"
Groceries,"ordered groceries online"
Groceries,"BigBasket grocery order"
Groceries,"BigBasket order for groceries"
Groceries,"BigBasket order for the house"
Groceries,"Blinkit grocery delivery"
Groceries,"Zepto groceries"
Groceries,"Instamart grocery order"
Groceries,"DMart grocery shopping"
Groceries,"dairy products for home"
Groceries,"milk curd and paneer"
Groceries,"flour rice and lentils"
Groceries,"cooking oil and spices"
Groceries,"household food supplies"
Groceries,"grocery delivery for the flat"
Food & Dining,"momos and a cold drink"
Food & Dining,"snacks from a restaurant"
Food & Dining,"snacks at a cafe"
Food & Dining,"snacks bought at a movie counter"
Food & Dining,"food bought at the cinema counter"
Food & Dining,"tip for the waiter"
Food & Dining,"restaurant service tip"
Food & Dining,"meal at a food court"
Food & Dining,"lunch with coworkers"
Food & Dining,"ordered food from Swiggy"
Food & Dining,"ordered food from Zomato"
Food & Dining,"Zomato order late night"
Food & Dining,"Zomato food order"
Food & Dining,"takeaway from a restaurant"
Food & Dining,"dessert after dinner"
Food & Dining,"food at a wedding"
Food & Dining,"paid restaurant bill"
Food & Dining,"coffee and sandwich"
Travel & Transport,"metro card recharge"
Travel & Transport,"recharged my metro card"
Travel & Transport,"flight ticket for work"
Travel & Transport,"flight booking for a trip"
Travel & Transport,"airport transfer"
Travel & Transport,"parking fee"
Travel & Transport,"parking charges at the mall"
Travel & Transport,"toll charges"
Travel & Transport,"highway toll payment"
Travel & Transport,"FASTag recharge"
Travel & Transport,"fastag payment"
Travel & Transport,"bike servicing"
Travel & Transport,"scooter service cost"
Travel & Transport,"vehicle maintenance payment"
Travel & Transport,"car service bill"
Travel & Transport,"petrol pump payment"
Travel & Transport,"fuel top up for my car"
Travel & Transport,"bus pass renewal"
Travel & Transport,"cab to the airport"
Travel & Transport,"Rapido ride to college"
Travel & Transport,"split cab fare payment to a friend"
Travel & Transport,"split cab fare with a friend"
Travel & Transport,"my share of the cab fare"
Travel & Transport,"paid my share of a cab"
Travel & Transport,"shared cab fare"
Housing / Rent,"security deposit for my new flat"
Housing / Rent,"flat security deposit"
Housing / Rent,"PG accommodation fee"
Housing / Rent,"monthly PG payment"
Housing / Rent,"paid the house owner"
Housing / Rent,"cash payment to the landlord"
Housing / Rent,"rent paid to the owner"
Housing / Rent,"broker advance for the apartment"
Housing / Rent,"maintenance charge with rent"
Housing / Rent,"shared apartment rent"
Education,"online course subscription"
Education,"Udemy course purchase"
Education,"Coursera course fee"
Education,"online learning course payment"
Education,"library fine"
Education,"library charges"
Education,"printing project report"
Education,"photocopying notes for college"
Education,"paid my tutor"
Education,"math tutor fee"
Education,"coaching class payment"
Education,"certification course fee"
Education,"professional certification exam"
Education,"hostel mess fee at college"
Education,"course enrollment online"
Shopping,"Amazon order for headphones"
Shopping,"bought headphones online"
Shopping,"new electronics from Amazon"
Shopping,"ordered a household appliance"
Shopping,"bought a phone accessory"
Shopping,"online shopping order"
Shopping,"clothes from an online store"
Shopping,"bought furniture for my room"
Shopping,"new kitchen appliance"
Shopping,"electric kettle for the house"
Shopping,"bought an electric kettle"
Shopping,"household appliance purchase"
Shopping,"kitchen appliance for home"
Shopping,"bought a small appliance for the room"
Entertainment,"bowling with friends"
Entertainment,"bowling alley fee"
Entertainment,"PVR movie tickets"
Entertainment,"movie ticket and popcorn"
Entertainment,"club entry fee"
Entertainment,"nightclub entry"
Entertainment,"standup comedy show"
Entertainment,"comedy show ticket"
Entertainment,"karaoke night"
Entertainment,"karaoke with colleagues"
Entertainment,"bought a video game online"
Entertainment,"video game purchase for entertainment"
Entertainment,"gaming night payment"
Entertainment,"amusement park ticket"
Transfer / Personal,"reimbursed friend for transport"
Transfer / Personal,"paid friend back for shared expenses"
Transfer / Personal,"sent money for a shared purchase"
Transfer / Personal,"split the dinner bill with friend"
Transfer / Personal,"reimbursed roommate"
Unknown,"paid something"
Unknown,"made a payment"
Unknown,"spent some money"
Unknown,"some payment"
Unknown,"some expense"
Unknown,"some purchase"
Unknown,"transaction made"
Unknown,"transaction"
Unknown,"paid an amount"
Unknown,"payment completed"
Unknown,"general payment"
Unknown,"general spend"
Unknown,"money spent"
Unknown,"debit from account"
Unknown,"paid a bill"
Unknown,"bill payment"
Unknown,"for home"
Unknown,"for something"
Unknown,"not sure what I bought"
Unknown,"can't remember the expense"
Unknown,"miscellaneous payment"
Unknown,"random transaction"
Unknown,"cash expense"
Unknown,"personal spend"
Unknown,"bill paid but category is unclear"
Unknown,"paid a bill but don't know what it was for"
Unknown,"bill payment with no details"
Unknown,"unknown bill payment"
Unknown,"expense for home"
Unknown,"payment for home"
Unknown,"something for the house"
Unknown,"home expense with no details"
Unknown,"not sure what the home expense was"
Bills & Utilities,"gas cylinder booking"
Bills & Utilities,"booked a cooking gas cylinder"
Bills & Utilities,"LPG cylinder payment"
Bills & Utilities,"gas cylinder delivery payment"
Bills & Utilities,"society maintenance charges"
Bills & Utilities,"apartment society maintenance fee"
Bills & Utilities,"monthly society maintenance"
Bills & Utilities,"housing society maintenance payment"
