label,note
Health & Fitness,"paid the clinic for a blood test"
Health & Fitness,"lab charges for my medical tests"
Health & Fitness,"clinic payment for a health screening"
Health & Fitness,"paid the doctor for my lab work"
Groceries,"bought fresh fruit for the household"
Groceries,"picked up fruit and vegetables for home"
Groceries,"kirana groceries for the apartment"
Groceries,"picked up household items from the kirana"
Food & Dining,"had breakfast before heading to college"
Food & Dining,"paid for breakfast on my way to campus"
Food & Dining,"quick meal before class"
Travel & Transport,"booked an Uber ride to college"
Travel & Transport,"cab ride to campus"
Travel & Transport,"paid for an Uber to university"
Housing / Rent,"sent money for my apartment accommodation"
Housing / Rent,"monthly accommodation payment for my flat"
Housing / Rent,"paid the accommodation cost for my room"
Housing / Rent,"money sent for my rented apartment"
Education,"bought college textbooks for the semester"
Education,"ordered textbooks for university classes"
Education,"paid for my college study books"
Education,"semester books purchased for college"
Education,"paid my university semester fee"
Education,"college fee due for this term"
Shopping,"bought a shirt while shopping"
Shopping,"picked up clothing from the store"
Shopping,"purchased a backpack for personal use"
Shopping,"bought a kitchen item for the house"
Shopping,"purchased a small item for the kitchen"
Shopping,"bought a gift for my friend"
Shopping,"ordered a phone charger online"
Shopping,"purchased a charger for my phone"
Bills & Utilities,"paid the water utility charge at home"
Bills & Utilities,"settled my home internet bill"
Bills & Utilities,"paid the monthly electricity charges"
Bills & Utilities,"settled the power bill for the house"
Bills & Utilities,"paid for my broadband service"
Transfer / Personal,"moved money to my own bank account"
Transfer / Personal,"transferred funds between my personal accounts"
Transfer / Personal,"sent money from one of my accounts to another"
Transfer / Personal,"repaid myself using money from another account"
Transfer / Personal,"transferred my own money back to my account"
Education,"Amazon purchase was for university textbooks"
Education,"ordered academic textbooks through Amazon"
Groceries,"Amazon order containing my weekly groceries"
Groceries,"bought household groceries through Amazon"
Shopping,"Amazon order for a phone charging cable"
Shopping,"Amazon purchase of a phone accessory"
Education,"bought textbooks from a local bookshop"
Education,"bookstore purchase of university textbooks"
Shopping,"bought a phone accessory from the bookshop"
Shopping,"bookstore purchase for a phone accessory"
