label,note
Bills & Utilities,"recharged my prepaid mobile plan"
Bills & Utilities,"renewed my DTH television package"
Bills & Utilities,"paid the monthly mobile recharge"
Bills & Utilities,"paid for the LPG connection"
Bills & Utilities,"paid the building backup generator charge"
Bills & Utilities,"settled the apartment water service charge"
Bills & Utilities,"renewed the broadband connection"
Bills & Utilities,"paid the cable television subscription"
Education,"purchased a chemistry lab manual for college"
Education,"paid for an English language coaching class"
Education,"renewed access to an academic journal portal"
Education,"enrolled in a data science training program"
Education,"registered for a campus academic workshop"
Education,"paid the university language test fee"
Education,"paid for exam preparation classes"
Education,"paid for thesis printing and binding"
Entertainment,"bought a digital game to play at home"
Entertainment,"purchased tickets for a comedy performance"
Entertainment,"paid admission for a water park"
Entertainment,"reserved a table for a night out at the pub"
Entertainment,"paid for an escape room outing"
Entertainment,"paid for a go-karting session"
Entertainment,"bought merchandise at a live concert"
Entertainment,"purchased tickets for a cricket match"
Food & Dining,"ordered dinner from a Thai restaurant"
Food & Dining,"paid the restaurant tab at a dhaba"
Food & Dining,"shared a pizza meal with coworkers"
Food & Dining,"bought lunch from a food delivery app"
Food & Dining,"paid for snacks and drinks at a cafe"
Food & Dining,"ordered dinner from a local restaurant"
Food & Dining,"paid for a meal at the office canteen"
Food & Dining,"bought takeaway food for the family"
Groceries,"ordered household groceries through Blinkit"
Groceries,"bought tea leaves and coffee for the kitchen"
Groceries,"purchased baby food for the pantry"
Groceries,"restocked milk and breakfast supplies"
Groceries,"ordered daily essentials from an online grocery store"
Groceries,"bought cooking ingredients for the week"
Groceries,"picked up pantry supplies from the supermarket"
Groceries,"bought flour, pulses and spices for home"
Health & Fitness,"bought bandages and antiseptic from the pharmacy"
Health & Fitness,"purchased protein bars for my workout routine"
Health & Fitness,"bought a blood pressure monitor for home health checks"
Health & Fitness,"purchased a first aid kit for medical use"
Health & Fitness,"bought a glucose monitor for health tracking"
Health & Fitness,"purchased multivitamins from the pharmacy"
Health & Fitness,"registered for a marathon event"
Health & Fitness,"paid for a preventive health screening"
Housing / Rent,"paid the broker for arranging the apartment"
Housing / Rent,"monthly charge for my co-living room"
Housing / Rent,"paid the PG accommodation charge"
Housing / Rent,"paid the room accommodation fee"
Housing / Rent,"transferred the monthly room rent"
Housing / Rent,"paid the apartment lease deposit"
Housing / Rent,"paid the landlord for this month's accommodation"
Housing / Rent,"paid the accommodation charge for my hostel room"
Shopping,"bought curtains and cushion covers for the room"
Shopping,"ordered a smartwatch online"
Shopping,"purchased a Wi-Fi router for the apartment"
Shopping,"ordered makeup products online"
Shopping,"bought a birthday gift for a friend"
Shopping,"purchased sunglasses from an online store"
Shopping,"bought a raincoat for the monsoon"
Shopping,"ordered a small home appliance"
Transfer / Personal,"sent my share of the rent to my flatmate"
Transfer / Personal,"reimbursed a colleague for tickets they bought"
Transfer / Personal,"paid my share toward a group birthday gift"
Transfer / Personal,"settled my share of groceries with my roommate"
Transfer / Personal,"sent a wedding gift contribution to a relative"
Transfer / Personal,"contributed money to the household kitty"
Transfer / Personal,"returned money a friend paid on my behalf"
Transfer / Personal,"sent a personal allowance to a family member"
Travel & Transport,"rented a car for a weekend trip"
Travel & Transport,"paid a mechanic to repair my punctured tyre"
Travel & Transport,"paid for a cab rental for the weekend"
Travel & Transport,"paid the mechanic for a vehicle repair"
Travel & Transport,"rented a car for an outstation journey"
Travel & Transport,"paid for roadside vehicle assistance"
Travel & Transport,"paid for a replacement tyre"
Travel & Transport,"booked a rental vehicle for travel"
Unknown,"the payment details were not recorded"
Unknown,"made a payment without noting the purpose"
Unknown,"the transaction has no description"
Unknown,"money was spent but I cannot identify why"
Unknown,"expense recorded without any category details"
Unknown,"payment made with no context"
Unknown,"debit appeared with no useful description"
Unknown,"cannot determine what this transaction was for"
